iso_alpha,country,continent,rgb_str
SUR,SUR,World,"(145, 0, 0)"
SVK,SVK,World,"(146, 0, 0)"
SVN,SVN,World,"(147, 0, 0)"
SWE,SWE,World,"(148, 0, 0)"
SWZ,SWZ,World,"(149, 0, 0)"
SYR,SYR,World,"(150, 0, 0)"
TCD,TCD,World,"(151, 0, 0)"
TGO,TGO,World,"(152, 0, 0)"
THA,THA,World,"(153, 0, 0)"
TJK,TJK,World,"(154, 0, 0)"
TKM,TKM,World,"(155, 0, 0)"
TLS,TLS,World,"(156, 0, 0)"
TTO,TTO,World,"(157, 0, 0)"
TUN,TUN,World,"(158, 0, 0)"
TUR,TUR,World,"(159, 0, 0)"
TWN,TWN,World,"(160, 0, 0)"
TZA,TZA,World,"(161, 0, 0)"
UGA,UGA,World,"(162, 0, 0)"
UKR,UKR,World,"(163, 0, 0)"
URY,URY,World,"(164, 0, 0)"
USA,USA,World,"(165, 0, 0)"
UZB,UZB,World,"(166, 0, 0)"
VEN,VEN,World,"(167, 0, 0)"
VNM,VNM,World,"(168, 0, 0)"
VUT,VUT,World,"(169, 0, 0)"
PSE,PSE,World,"(170, 0, 0)"
YEM,YEM,World,"(171, 0, 0)"
ZAF,ZAF,World,"(172, 0, 0)"
ZMB,ZMB,World,"(173, 0, 0)"
ZWE,ZWE,World,"(174, 0, 0)"
